Species,Class,Order,Family,Game,CreavesSpecies,CreavesGroup,Subside
Regulus ignicapillus,Oiseaux,Passériformes,Régulidés,0,Roitelet à triple bandeau,Autres oiseaux et chauves-souris,1.12
Regulus regulus,Oiseaux,Passériformes,Régulidés,0,Roitelet huppé,Autres oiseaux et chauves-souris,1.12
Remiz pendulinus,Oiseaux,Passériformes,Rémizidés,0,Remiz penduline,Autres oiseaux et chauves-souris,1.12
Rhinolophus ferrumequinum,Mammifères,Chiroptera,Rhinolophidés,0,Rhinolophe grand fer à cheval,Autres oiseaux et chauves-souris,0.75
Rhinolophus hipposideros,Mammifères,Chiroptera,Rhinolophidés,0,Rhinolophe petit fer à cheval,Autres oiseaux et chauves-souris,0.75
Sciurus vulgaris,Mammifères,Rodentia,Sciuridés,0,Ecureuil roux,Mammifères non volants,1.12
Tamias sibiricus,Mammifères,Rodentia,Sciuridés,0,Tamia de Sibérie,invasif,0
Actitis hypoleucos,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier guignette,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Arenaria interpres,Oiseaux,Charadriiformes,Scolopacidés,0,Tournepierre à collier,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris acuminata,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau à queue pointue,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris alba,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau sanderling,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris alpina,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau variable,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris canutus,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau maubèche,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris ferruginea,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau cocorli,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris fuscicollis,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau de Bonaparte,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris melanotos,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau tacheté,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris minuta,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau minute,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Calidris temminckii,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau de Temminck,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Gallinago gallinago,Oiseaux,Charadriiformes,Scolopacidés,0,Bécassine des marais,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Gallinago media,Oiseaux,Charadriiformes,Scolopacidés,0,Bécassine double,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Limicola falcinellus,Oiseaux,Charadriiformes,Scolopacidés,0,Bécasseau falcinelle,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Limosa lapponica,Oiseaux,Charadriiformes,Scolopacidés,0,Barge rousse,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Limosa limosa,Oiseaux,Charadriiformes,Scolopacidés,0,Barge à queue noire,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Lymnocryptes minimus,Oiseaux,Charadriiformes,Scolopacidés,0,Bécassine sourde,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Numenius arquata,Oiseaux,Charadriiformes,Scolopacidés,0,Courlis cendré,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Numenius phaeopus,Oiseaux,Charadriiformes,Scolopacidés,0,Courlis corlieu,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Numenius tenuirostris,Oiseaux,Charadriiformes,Scolopacidés,0,Courlis à bec grèle,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Phalaropus fulicarius,Oiseaux,Charadriiformes,Scolopacidés,0,Phalarope à bec large,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Phalaropus lobatus,Oiseaux,Charadriiformes,Scolopacidés,0,Phalarope à bec étroit,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Philomachus pugnax,Oiseaux,Charadriiformes,Scolopacidés,0,Combattant varié,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Scolopax rusticola,Oiseaux,Charadriiformes,Scolopacidés,1,Bécasse des bois,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Tringa cinerea,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier bargette,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Tringa erythropus,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier arlequin,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Tringa glareola,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier sylvain,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Tringa nebularia,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier aboyeur,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Tringa ochropus,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier culblanc,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Tringa stagnatilis,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier stagnatile,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Tringa totanus,Oiseaux,Charadriiformes,Scolopacidés,0,Chevalier gambette,"Rapaces, oiseaux d’eau, échassiers ou limicoles",2.08
Sitta europaea,Oiseaux,Passériformes,Sittidés,0,Sittelle d'Europe,Autres oiseaux et chauves-souris,1.12
Crocidura leucodon,Mammifères,Rodentia,Soricidés,0,Musaraigne bicolore,Mammifères non volants,0
Crocidura russula,Mammifères,Rodentia,Soricidés,0,Musaraigne musette,Mammifères non volants,0
Erinaceus europaeus,Mammifères,Rodentia,Soricidés,0,Hérisson,Mammifères non volants,1.5
Neomys anomalus,Mammifères,Rodentia,Soricidés,0,Musaraigne,Mammifères non volants,0
Neomys fodiens,Mammifères,Rodentia,Soricidés,0,Musaraigne,Mammifères non volants,0
Sorex araneus,Mammifères,Rodentia,Soricidés,0,Musaraigne carrelet,Mammifères non volants,0
Sorex coronatus,Mammifères,Rodentia,Soricidés,0,Musaraigne,Mammifères non volants,0
Sorex minutus,Mammifères,Rodentia,Soricidés,0,Musaraigne,Mammifères non volants,0
Stercorarius longicaudus,Oiseaux,Charadriiformes,Stercorariidés,0,Labbe à longue queue,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Stercorarius parasiticus,Oiseaux,Charadriiformes,Stercorariidés,0,Labbe parasite,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Stercorarius pomarinus,Oiseaux,Charadriiformes,Stercorariidés,0,Labbe pomarin,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Stercorarius skua,Oiseaux,Charadriiformes,Stercorariidés,0,Grand Labbe,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Chlidonias hybridus,Oiseaux,Passériformes,Sternidés,0,Guifette moustac,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Chlidonias leucopterus,Oiseaux,Passériformes,Sternidés,0,Guifette leucoptère,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Chlidonias niger,Oiseaux,Passériformes,Sternidés,0,Guifette noire,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Gelochelidon nilotica,Oiseaux,Passériformes,Sternidés,0,Sterne hansel,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Sterna albifrons,Oiseaux,Passériformes,Sternidés,0,Sterne naine,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Sterna caspia,Oiseaux,Passériformes,Sternidés,0,Sterne caspienne,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Sterna hirundo,Oiseaux,Passériformes,Sternidés,0,Sterne pierregarin,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Sterna paradisaea,Oiseaux,Passériformes,Sternidés,0,Sterne arctique,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Sterna sandvicensis,Oiseaux,Passériformes,Sternidés,0,Sterne caugek,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Aegolius funereus,Oiseaux,Strigiformes,Strigidés,0,Chouette de Tengmalm,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Asio flammeus,Oiseaux,Strigiformes,Strigidés,0,Hibou des marais,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Asio otus,Oiseaux,Strigiformes,Strigidés,0,Hibou moyen-duc,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Athene noctua,Oiseaux,Strigiformes,Strigidés,0,Chevêche d'Athena,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Bubo bubo,Oiseaux,Strigiformes,Strigidés,0,Grand-Duc d'Europe,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3
Glaucidium passerinum,Oiseaux,Strigiformes,Strigidés,0,Chevêchette d'Europe ,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Otus scops,Oiseaux,Strigiformes,Strigidés,0,Petit-duc scops,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Strix aluco,Oiseaux,Strigiformes,Strigidés,0,Chouette hulotte,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Surnia ulula,Oiseaux,Strigiformes,Strigidés,0,Chouette épervière,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Sturnus roseus,Oiseaux,Passériformes,Sturnidés,0,Etourneau roselin,Autres oiseaux et chauves-souris,1.12
Sturnus vulgaris,Oiseaux,Passériformes,Sturnidés,0,Etourneau sansonnet,Autres oiseaux et chauves-souris,1.12
Sus scrofa,Mammifères,Suina,Suidés,1,Sanglier,Mammifères non volants,0
Morus bassanus,Oiseaux,Suliformes,Sulidés,0,Fou de Bassan,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Sylvia atricapilla,Oiseaux,Passériformes,Sylviidés,0,Fauvette à tête noire,Autres oiseaux et chauves-souris,1.12
Sylvia borin,Oiseaux,Passériformes,Sylviidés,0,Fauvette des jardins,Autres oiseaux et chauves-souris,1.12
Sylvia cantillans,Oiseaux,Passériformes,Sylviidés,0,Fauvette passerinette,Autres oiseaux et chauves-souris,1.12
Sylvia communis,Oiseaux,Passériformes,Sylviidés,0,Fauvette grisette,Autres oiseaux et chauves-souris,1.12
Sylvia curruca,Oiseaux,Passériformes,Sylviidés,0,Fauvette babillarde,Autres oiseaux et chauves-souris,1.12
Sylvia hortensis,Oiseaux,Passériformes,Sylviidés,0,Fauvette orphée,Autres oiseaux et chauves-souris,1.12
Sylvia melanocephala,Oiseaux,Passériformes,Sylviidés,0,Fauvette mélanocéphale,Autres oiseaux et chauves-souris,1.12
Sylvia nisoria,Oiseaux,Passériformes,Sylviidés,0,Fauvette épervière,Autres oiseaux et chauves-souris,1.12
Sylvia undata,Oiseaux,Passériformes,Sylviidés,0,Fauvette pitchou,Autres oiseaux et chauves-souris,1.12
Talpa europaea,Mammifères,Eulipotyphla,Talpidés,0,Taupe,Mammifères non volants,0
Platalea leucorodia,Oiseaux,Pélécaniformes,Threskiornithidés,0,Spatule blanche,"Rapaces, oiseaux d’eau, échassiers ou limicoles",4.09
Plegadis falcinellus,Oiseaux,Pélécaniformes,Threskiornithidés,0,Ibis falcinelle,"Rapaces, oiseaux d’eau, échassiers ou limicoles",4.09
Tichodroma muraria,Oiseaux,Passériformes,Tichodromidés,0,Tichodrome échelette,Autres oiseaux et chauves-souris,1.12
Troglodytes troglodytes,Oiseaux,Passériformes,Troglodytidés,0,Troglodyte mignon,Autres oiseaux et chauves-souris,1.12
Monticola saxatilis,Oiseaux,Passériformes,Turdidé,0,Monticole de roche,Autres oiseaux et chauves-souris,1.12
Turdus iliacus,Oiseaux,Passériformes,Turdidés,0,Grive mauvis,Autres oiseaux et chauves-souris,1.12
Turdus merula,Oiseaux,Passériformes,Turdidés,0,Merle noir,Autres oiseaux et chauves-souris,1.12
Turdus naumanni,Oiseaux,Passériformes,Turdidés,0,Grive de Nauman,Autres oiseaux et chauves-souris,1.12
Turdus obscurus,Oiseaux,Passériformes,Turdidés,0,Grive obscure,Autres oiseaux et chauves-souris,1.12
Turdus philomelos,Oiseaux,Passériformes,Turdidés,0,Grive musicienne,Autres oiseaux et chauves-souris,1.12
Turdus pilaris,Oiseaux,Passériformes,Turdidés,0,Grive litorne,Autres oiseaux et chauves-souris,1.12
Turdus ruficollis,Oiseaux,Passériformes,Turdidés,0,Grive à gorge rousse,Autres oiseaux et chauves-souris,1.12
Turdus torquatus,Oiseaux,Passériformes,Turdidés,0,Merle à plastron,Autres oiseaux et chauves-souris,1.12
Turdus viscivorus,Oiseaux,Passériformes,Turdidés,0,Grive draine,Autres oiseaux et chauves-souris,1.12
Zoothera dauma,Oiseaux,Passériformes,Turdidés,0,Grive dorée,Autres oiseaux et chauves-souris,1.12
Zoothera sibirica,Oiseaux,Passériformes,Turdidés,0,Grive de Sibérie,Autres oiseaux et chauves-souris,1.12
Tyto alba,Oiseaux,Strigiformes,Tytonidés,0,Effraie des clochers,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Upupa epops,Oiseaux,Bucérotiformes,Upudidés,0,Huppe fasciée,Autres oiseaux et chauves-souris,1.12
Barbastella barbastellus,Mammifères,Chiroptera,Verspertilionidés,0,Barbastelle,Autres oiseaux et chauves-souris,0.75
Eptesicus nilssonii,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Eptesicus serotinus,Mammifères,Chiroptera,Verspertilionidés,0,Sérotine commune,Autres oiseaux et chauves-souris,0.75
Myotis alcathoe,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Myotis bechsteinii,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Myotis brandtii,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Myotis dasycneme,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Myotis daubentonii,Mammifères,Chiroptera,Verspertilionidés,0,Murin de Daubenton,Autres oiseaux et chauves-souris,0.75
Myotis emarginatus,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Myotis myotis,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Myotis mystacinus,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Myotis nattereri,Mammifères,Chiroptera,Verspertilionidés,0,Murin,Autres oiseaux et chauves-souris,0.75
Nyctalus leisleri,Mammifères,Chiroptera,Verspertilionidés,0,Noctule,Autres oiseaux et chauves-souris,0.75
Nyctalus noctula,Mammifères,Chiroptera,Verspertilionidés,0,Noctule commune,Autres oiseaux et chauves-souris,0.75
Pipistrellus kuhlii,Mammifères,Chiroptera,Verspertilionidés,0,Pipistrelle,Autres oiseaux et chauves-souris,0.75
Pipistrellus nathusii,Mammifères,Chiroptera,Verspertilionidés,0,Pipistrelle,Autres oiseaux et chauves-souris,0.75
Pipistrellus pipistrellus,Mammifères,Chiroptera,Verspertilionidés,0,Pipistrelle,Autres oiseaux et chauves-souris,0.75
Pipistrellus pygmaeus,Mammifères,Chiroptera,Verspertilionidés,0,Pipistrelle,Autres oiseaux et chauves-souris,0.75
Plecotus auritus,Mammifères,Chiroptera,Verspertilionidés,0,Oreillard roux,Autres oiseaux et chauves-souris,0.75
Plecotus austriacus,Mammifères,Chiroptera,Verspertilionidés,0,Oreillard,Autres oiseaux et chauves-souris,0.75
Vespertilio murinus,Mammifères,Chiroptera,Verspertilionidés,0,Serotine bicolore,Autres oiseaux et chauves-souris,0.75
Genetta genetta,Mammifères,Viverroidea,Viverridés,0,Genette,Mammifères non volants,0
Anser,Oiseaux,Ansériformes,Anatidés,0,Oie domestique,Domestique,0
oisillon,Oiseaux,oisillon,oisillon,0,oisillon,Autres oiseaux et chauves-souris,0
Coronella austriaca,Reptiles,Squamata,Colubridae,0,Coronelle lisse,Autres que oiseaux et mammifères,0
Natrix natrix,Reptiles,Squamata,Natricidae,0,Couleuvre à collier,Autres que oiseaux et mammifères,0
Podarcis muralis,Reptiles,Squamata,Lacertidae,0,Lézard des murailles,Autres que oiseaux et mammifères,0
Lacerta agilis,Reptiles,Squamata,Lacertidae,0,Lézard des souches,Autres que oiseaux et mammifères,0
Zootoca vivipara,Reptiles,Squamata,Lacertidae,0,Lézard vivipare,Autres que oiseaux et mammifères,0
Anguis fragilis,Reptiles,Squamata,Anguidae,0,Orvet fragile ,Autres que oiseaux et mammifères,0
Trachemys scripta,Reptiles,Testudines,Emydidae,0,Tortue de Floride,invasif préocupant,0
Vipera berus,Reptiles,Squamata,Viperidae,0,Vipère péliade,Autres que oiseaux et mammifères,0
Alytes obstetricans,Amphibiens,Anura,Alytidae,0,Alyte accoucheur,Autres que oiseaux et mammifères,0
Bufo calamita,Amphibiens,Anura,Bufonidae,0,Crapaud calamite,Autres que oiseaux et mammifères,0
Bufo bufo,Amphibiens,Anura,Bufonidae,0,Crapaud commun,Autres que oiseaux et mammifères,0
Rana dalmatina,Amphibiens,Anura,Ranidae,0,Grenouille agile,Autres que oiseaux et mammifères,0
Pelophylax lessonae,Amphibiens,Anura,Ranidae,0,Grenouille de Lessona,Autres que oiseaux et mammifères,0
Pelophylax ridibundus,Amphibiens,Anura,Ranidae,0,Grenouille rieuse,Autres que oiseaux et mammifères,0
Rana temporaria,Amphibiens,Anura,Ranidae,0,Grenouille rousse,Autres que oiseaux et mammifères,0
Pelophylax kl. esculentus,Amphibiens,Anura,Ranidae,0,Grenouille verte,Autres que oiseaux et mammifères,0
Pelobates fuscus,Amphibiens,Anura,Pelobatidae,0,Pélobate brun,Autres que oiseaux et mammifères,0
Hyla arborea,Amphibiens,Anura,Hylidae,0,Rainette verte,Autres que oiseaux et mammifères,0
Salamandra salamandra,Amphibiens,Caudata,Salamandridae,0,Salamandre tachetée,Autres que oiseaux et mammifères,0
Bombina variegata,Amphibiens,Anura,Bombinatoridae,0,Sonneur à ventre jaune,Autres que oiseaux et mammifères,0
Ichthyosaura alpestris,Amphibiens,Caudata,Salamandridae,0,Triton alpestre,Autres que oiseaux et mammifères,0
Triturus cristatus,Amphibiens,Caudata,Salamandridae,0,Triton crêté,Autres que oiseaux et mammifères,0
Lissotriton helveticus,Amphibiens,Caudata,Salamandridae,0,Triton palmé,Autres que oiseaux et mammifères,0
Lissotriton vulgaris,Amphibiens,Caudata,Salamandridae,0,Triton ponctué,Autres que oiseaux et mammifères,0
Lithobates catesbeianus,Amphibiens,Anura,Ranidae,0,Grenouille taureau,invasif préocupant,0
Xenopus laevis,Amphibiens,Anura,Pipidae,0,Xénope lisse,invasif préocupant,0
Parabuteo unicinctus,Oiseaux,Accipitriformes,Accipitridés,0,Buse de harris,Exotique,0
Anas platyrhynchos domesticus CI,Oiseaux,Ansériformes,Anatidés,0,Coureur indien,Domestique,0
Melopsittacus undulatus,Oiseaux,Psittaciformes,Psittaculidée,0,Perruche ondulée,Exotique,0
Oryctolagus cuniculus domesticus,Mammifères,Lagomorpha,Léporidés,0,Lapin domestique,Domestique,0
tortues aquatiques,Reptiles,Testudines,Emydidae,0,tortues aquatiques,Exotique,0
Anas platyrhynchos domesticus,Oiseaux,Ansériformes,Anatidés,0,Canard domestique,Domestique,0
Cairina moschata,Oiseaux,Ansériformes,Anatidés,0,Canard de barbarie,Domestique,0
Alectoris fufa,Oiseaux,Galliformes,Phasianidés,0,Perdrix rouge,Exotique,0